session_id,org_id,account_id,user_id,session_start,session_end,duration_minutes
sess_acc_001_usr_acc_001_1_58,org_001,acc_001,usr_acc_001_1,2026-01-05T18:10:37.653981,2026-01-05T19:23:37.653981,73
sess_acc_001_usr_acc_001_1_57,org_001,acc_001,usr_acc_001_1,2026-01-06T18:44:37.654028,2026-01-06T20:00:37.654028,76
sess_acc_001_usr_acc_001_1_54,org_001,acc_001,usr_acc_001_1,2026-01-09T08:51:37.654058,2026-01-09T09:36:37.654058,45
sess_acc_001_usr_acc_001_1_52,org_001,acc_001,usr_acc_001_1,2026-01-11T18:31:37.654089,2026-01-11T19:26:37.654089,55
sess_acc_001_usr_acc_001_1_50,org_001,acc_001,usr_acc_001_1,2026-01-13T17:27:37.654207,2026-01-13T18:46:37.654207,79
sess_acc_001_usr_acc_001_1_49,org_001,acc_001,usr_acc_001_1,2026-01-14T08:55:37.654255,2026-01-14T09:14:37.654255,19
sess_acc_001_usr_acc_001_1_47,org_001,acc_001,usr_acc_001_1,2026-01-16T09:24:37.654274,2026-01-16T10:17:37.654274,53
sess_acc_001_usr_acc_001_1_45,org_001,acc_001,usr_acc_001_1,2026-01-18T16:48:37.654294,2026-01-18T17:27:37.654294,39
sess_acc_001_usr_acc_001_1_44,org_001,acc_001,usr_acc_001_1,2026-01-19T08:46:37.654310,2026-01-19T09:24:37.654310,38
sess_acc_001_usr_acc_001_1_42,org_001,acc_001,usr_acc_001_1,2026-01-21T18:32:37.654324,2026-01-21T19:54:37.654324,82
sess_acc_001_usr_acc_001_1_40,org_001,acc_001,usr_acc_001_1,2026-01-23T16:58:37.654338,2026-01-23T17:03:37.654338,5
sess_acc_001_usr_acc_001_1_36,org_001,acc_001,usr_acc_001_1,2026-01-27T08:15:37.654358,2026-01-27T09:32:37.654358,77
sess_acc_001_usr_acc_001_1_32,org_001,acc_001,usr_acc_001_1,2026-01-31T10:08:37.654373,2026-01-31T11:37:37.654373,89
sess_acc_001_usr_acc_001_1_30,org_001,acc_001,usr_acc_001_1,2026-02-02T11:59:37.654391,2026-02-02T13:13:37.654391,74
sess_acc_001_usr_acc_001_1_29,org_001,acc_001,usr_acc_001_1,2026-02-03T18:41:37.654410,2026-02-03T19:33:37.654410,52
sess_acc_001_usr_acc_001_1_28,org_001,acc_001,usr_acc_001_1,2026-02-04T13:01:37.654427,2026-02-04T14:21:37.654427,80
sess_acc_001_usr_acc_001_1_27,org_001,acc_001,usr_acc_001_1,2026-02-05T18:03:37.654439,2026-02-05T18:37:37.654439,34
sess_acc_001_usr_acc_001_1_25,org_001,acc_001,usr_acc_001_1,2026-02-07T11:17:37.654451,2026-02-07T12:47:37.654451,90
sess_acc_001_usr_acc_001_1_23,org_001,acc_001,usr_acc_001_1,2026-02-09T15:15:37.654475,2026-02-09T16:20:37.654475,65
sess_acc_001_usr_acc_001_1_22,org_001,acc_001,usr_acc_001_1,2026-02-10T14:26:37.654509,2026-02-10T15:30:37.654509,64
sess_acc_001_usr_acc_001_1_19,org_001,acc_001,usr_acc_001_1,2026-02-13T13:51:37.654522,2026-02-13T14:09:37.654522,18
sess_acc_001_usr_acc_001_1_18,org_001,acc_001,usr_acc_001_1,2026-02-14T10:27:37.654537,2026-02-14T10:55:37.654537,28
sess_acc_001_usr_acc_001_1_17,org_001,acc_001,usr_acc_001_1,2026-02-15T16:06:37.654552,2026-02-15T16:17:37.654552,11
sess_acc_001_usr_acc_001_1_14,org_001,acc_001,usr_acc_001_1,2026-02-18T15:30:37.654565,2026-02-18T16:02:37.654565,32
sess_acc_001_usr_acc_001_1_12,org_001,acc_001,usr_acc_001_1,2026-02-20T15:18:37.654584,2026-02-20T16:17:37.654584,59
sess_acc_001_usr_acc_001_1_10,org_001,acc_001,usr_acc_001_1,2026-02-22T16:03:37.654604,2026-02-22T16:48:37.654604,45
sess_acc_001_usr_acc_001_1_9,org_001,acc_001,usr_acc_001_1,2026-02-23T16:58:37.654614,2026-02-23T18:10:37.654614,72
sess_acc_001_usr_acc_001_1_8,org_001,acc_001,usr_acc_001_1,2026-02-24T10:04:37.654627,2026-02-24T11:25:37.654627,81
sess_acc_001_usr_acc_001_1_6,org_001,acc_001,usr_acc_001_1,2026-02-26T17:15:37.654639,2026-02-26T18:34:37.654639,79
sess_acc_001_usr_acc_001_1_5,org_001,acc_001,usr_acc_001_1,2026-02-27T18:37:37.654649,2026-02-27T19:54:37.654649,77
sess_acc_001_usr_acc_001_1_3,org_001,acc_001,usr_acc_001_1,2026-03-01T14:08:37.654666,2026-03-01T15:38:37.654666,90
sess_acc_001_usr_acc_001_1_2,org_001,acc_001,usr_acc_001_1,2026-03-02T17:36:37.654686,2026-03-02T17:53:37.654686,17
sess_acc_001_usr_acc_001_1_1,org_001,acc_001,usr_acc_001_1,2026-03-03T12:08:37.654696,2026-03-03T12:57:37.654696,49
sess_acc_001_usr_acc_001_2_60,org_001,acc_001,usr_acc_001_2,2026-01-03T10:28:37.654708,2026-01-03T11:42:37.654708,74
sess_acc_001_usr_acc_001_2_59,org_001,acc_001,usr_acc_001_2,2026-01-04T16:19:37.654723,2026-01-04T17:48:37.654723,89
sess_acc_001_usr_acc_001_2_58,org_001,acc_001,usr_acc_001_2,2026-01-05T09:47:37.654733,2026-01-05T11:02:37.654733,75
sess_acc_001_usr_acc_001_2_55,org_001,acc_001,usr_acc_001_2,2026-01-08T18:54:37.654748,2026-01-08T19:32:37.654748,38
sess_acc_001_usr_acc_001_2_54,org_001,acc_001,usr_acc_001_2,2026-01-09T12:02:37.654765,2026-01-09T12:07:37.654765,5
sess_acc_001_usr_acc_001_2_53,org_001,acc_001,usr_acc_001_2,2026-01-10T15:35:37.654782,2026-01-10T16:34:37.654782,59
sess_acc_001_usr_acc_001_2_52,org_001,acc_001,usr_acc_001_2,2026-01-11T10:34:37.654792,2026-01-11T10:43:37.654792,9
sess_acc_001_usr_acc_001_2_51,org_001,acc_001,usr_acc_001_2,2026-01-12T08:19:37.654806,2026-01-12T09:10:37.654806,51
sess_acc_001_usr_acc_001_2_50,org_001,acc_001,usr_acc_001_2,2026-01-13T11:42:37.654819,2026-01-13T12:00:37.654819,18
sess_acc_001_usr_acc_001_2_47,org_001,acc_001,usr_acc_001_2,2026-01-16T10:51:37.654839,2026-01-16T11:18:37.654839,27
sess_acc_001_usr_acc_001_2_45,org_001,acc_001,usr_acc_001_2,2026-01-18T18:55:37.654859,2026-01-18T19:31:37.654859,36
sess_acc_001_usr_acc_001_2_44,org_001,acc_001,usr_acc_001_2,2026-01-19T08:54:37.654875,2026-01-19T09:59:37.654875,65
sess_acc_001_usr_acc_001_2_43,org_001,acc_001,usr_acc_001_2,2026-01-20T11:14:37.654887,2026-01-20T11:22:37.654887,8
sess_acc_001_usr_acc_001_2_42,org_001,acc_001,usr_acc_001_2,2026-01-21T09:49:37.654900,2026-01-21T10:29:37.654900,40
sess_acc_001_usr_acc_001_2_39,org_001,acc_001,usr_acc_001_2,2026-01-24T08:07:37.654917,2026-01-24T08:45:37.654917,38
sess_acc_001_usr_acc_001_2_38,org_001,acc_001,usr_acc_001_2,2026-01-25T17:27:37.654930,2026-01-25T18:16:37.654930,49
sess_acc_001_usr_acc_001_2_37,org_001,acc_001,usr_acc_001_2,2026-01-26T17:12:37.654946,2026-01-26T17:49:37.654946,37
sess_acc_001_usr_acc_001_2_36,org_001,acc_001,usr_acc_001_2,2026-01-27T16:59:37.654958,2026-01-27T18:12:37.654958,73
